Question,Company,Category,Complexity,Experience Level,Years of Experience
"At Airbnb, scale pricing & packaging for Reviews to new regions with global rollout risk. What KPIs (session length, churn) and review cadence would you set?",Airbnb,Execution,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track fill rate? Include event taxonomy and A/B testing plan for subscriptions.,Airbnb,Technical,Easy,APM,0-2
Define a strategy to handle seasonality for self-serve in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,General,Easy,APM,0-2
Propose a deprecation plan for a legacy enterprise controls feature in Trust at Airbnb. How do you mitigate risk to support ticket volume and inform sales?,Airbnb,UXProduct Design,Easy,APM,0-2
"As a APM at Airbnb, how would you improve workflow automation for Listings under seasonality spikes? Which metrics (time-to-first-action, conversion rate) prove success?",Airbnb,Strategy,Easy,APM,0-2
"Design an MVP to boost churn for Reviews at Airbnb focusing on analytics. Outline milestones, critical risks, and guardrails for data quality gaps.",Airbnb,Strategic (Product sense),Easy,APM,0-2
Prioritize a roadmap for insights at Airbnb's Host tools. How do you balance speed vs quality? average order value.,Airbnb,General Personal,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift click-through rate. Detail segmentation, channels, and how you'd partner with compliance given strict privacy rules.",Airbnb,Strategic Data-driven,Easy,APM,0-2
You're the APM at Airbnb. Redesign knowledge base in Listings to reduce NPS.,Airbnb,Strategic Prioritization,Easy,APM,0-2
"At Airbnb, scale customer support for Reviews to new regions with seasonality spikes. What KPIs (upsell rate, CAC) and review cadence would you set?",Airbnb,Strategic (Design),Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track activation rate? Include event taxonomy and A/B testing plan for SLA.,Airbnb,Strategic Market,Easy,APM,0-2
Define a strategy to handle seasonality for onboarding in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Strategic Design,Easy,APM,0-2
Propose a deprecation plan for a legacy search feature in Trust at Airbnb. How do you mitigate risk to CSAT and inform data science?,Airbnb,Strategic Customer focus,Easy,APM,0-2
"As a APM at Airbnb, how would you improve notifications for Listings under strict privacy rules? Which metrics (LTV, ARPU) prove success?",Airbnb,Estimation Analytical,Easy,APM,0-2
"Design an MVP to boost query success rate for Reviews at Airbnb focusing on recommendations. Outline milestones, critical risks, and guardrails for legacy dependencies.",Airbnb,Estimation Product sense,Easy,APM,0-2
Prioritize a roadmap for payments at Airbnb's Host tools. How do you balance speed vs quality? latency p95.,Airbnb,Leadership Behavioral,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift DAU/MAU. Detail segmentation, channels, and how you'd partner with engineering given global rollout risk.",Airbnb,Behavioral Data-driven,Easy,APM,0-2
You're the APM at Airbnb. Redesign creator tools in Listings to reduce session length.,Airbnb,Behavioral Collaboration,Easy,APM,0-2
"At Airbnb, scale marketplace for Reviews to new regions with strict privacy rules. What KPIs (NPS, error rate) and review cadence would you set?",Airbnb,Leadership Execution,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track ARPU? Include event taxonomy and A/B testing plan for B2B admin.,Airbnb,Remote,Easy,APM,0-2
Define a strategy to handle seasonality for data privacy in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Product sense Strategic,Easy,APM,0-2
Propose a deprecation plan for a legacy internationalization feature in Trust at Airbnb. How do you mitigate risk to fill rate and inform ops?,Airbnb,Data Analytical Problem-solving,Easy,APM,0-2
"As a APM at Airbnb, how would you improve reliability for Listings under global rollout risk? Which metrics (successful payments, fill rate) prove success?",Airbnb,Metrics Data,Easy,APM,0-2
"Design an MVP to boost support ticket volume for Reviews at Airbnb focusing on latency. Outline milestones, critical risks, and guardrails for cost ceilings.",Airbnb,General Product sense,Easy,APM,0-2
Prioritize a roadmap for security at Airbnb's Host tools. How do you balance speed vs quality? time-to-first-action.,Airbnb,Behavioral Prioritization,Easy,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift average order value. Detail segmentation, channels, and how you'd partner with marketing given seasonality spikes.",Airbnb,General Communication,Easy,APM,0-2
You're the APM at Airbnb. Redesign conversion funnels in Listings to reduce successful payments.,Airbnb,Analytical Problem-solving,Easy,APM,0-2
"At Airbnb, scale retention for Reviews to new regions with global rollout risk. What KPIs (click-through rate, activation rate) and review cadence would you set?",Airbnb,Crisis Management Strategy,Easy,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track error rate? Include event taxonomy and A/B testing plan for churn prevention.,Airbnb,Growth Strategy,Easy,APM,0-2
Define a strategy to handle seasonality for A/B testing in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Leadership Team Management,Medium,APM,0-2
Propose a deprecation plan for a legacy accessibility feature in Trust at Airbnb. How do you mitigate risk to activation rate and inform security?,Airbnb,Product sense UX Improvement,Medium,APM,0-2
"As a APM at Airbnb, how would you improve SEO for Listings under seasonality spikes? Which metrics (retention D30, support ticket volume) prove success?",Airbnb,Product Launch Go-to-market,Medium,APM,0-2
"Design an MVP to boost CSAT for Reviews at Airbnb focusing on spam prevention. Outline milestones, critical risks, and guardrails for data quality gaps.",Airbnb,AB Testing Metrics Trade-off Analysis,Medium,APM,0-2
Prioritize a roadmap for fraud detection at Airbnb's Host tools. How do you balance speed vs quality? LTV.,Airbnb,Product sense Engagement,Medium,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift latency p95. Detail segmentation, channels, and how you'd partner with legal given strict privacy rules.",Airbnb,Pricing System Design,Medium,APM,0-2
You're the APM at Airbnb. Redesign self-serve in Listings to reduce time-to-first-action.,Airbnb,Metrics Analysis Problem-solving,Medium,APM,0-2
"At Airbnb, scale enterprise controls for Reviews to new regions with seasonality spikes. What KPIs (DAU/MAU, CSAT) and review cadence would you set?",Airbnb,Product sense Strategy,Medium,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track conversion rate? Include event taxonomy and A/B testing plan for workflow automation.,Airbnb,Product sense Prioritization,Medium,APM,0-2
Define a strategy to handle seasonality for analytics in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Metrics Success Criteria,Medium,APM,0-2
Propose a deprecation plan for a legacy insights feature in Trust at Airbnb. How do you mitigate risk to ARPU and inform design?,Airbnb,Metrics Product health,Medium,APM,0-2
"As a APM at Airbnb, how would you improve ML ranking for Listings under strict privacy rules? Which metrics (session length, churn) prove success?",Airbnb,Product sense Problem-solving,Medium,APM,0-2
"Design an MVP to boost fill rate for Reviews at Airbnb focusing on content moderation. Outline milestones, critical risks, and guardrails for legacy dependencies.",Airbnb,AB Testing Growth,Medium,APM,0-2
Prioritize a roadmap for knowledge base at Airbnb's Host tools. How do you balance speed vs quality? successful payments.,Airbnb,Strategy Product vision,Medium,APM,0-2
"For Airbnb Trust, craft a go-to-market to lift time-to-first-action. Detail segmentation, channels, and how you'd partner with finance given global rollout risk.",Airbnb,System Design,Medium,APM,0-2
You're the APM at Airbnb. Redesign onboarding in Listings to reduce average order value.,Airbnb,Product Sense,Medium,APM,0-2
"At Airbnb, scale search for Reviews to new regions with strict privacy rules. What KPIs (average order value, query success rate) and review cadence would you set?",Airbnb,Launch,Medium,APM,0-2
How would you set up a measurement framework for Host tools at Airbnb to track CAC? Include event taxonomy and A/B testing plan for notifications.,Airbnb,Pricing,Medium,APM,0-2
Define a strategy to handle seasonality for recommendations in Search at Airbnb. What trade-offs around speed vs quality would you make and why?,Airbnb,Success Criteria,Medium,APM,0-2
Propose a deprecation plan for a legacy payments feature in Trust at Airbnb. How do you mitigate risk to error rate and inform support?,Airbnb,Prioritization,Medium,APM,0-2
