Question,Company,Category,Complexity,Experience Level,Years of Experience
Describe how you would enter a new market for Google.,Netflix,Metrics,Complex,Director,1-2 years
Describe how you would improve customer retention for Microsoft.,Adobe,Metrics,Medium,Director,3-5 years
How would you evaluate the success of an international expansion?,Amazon,Customer Obsession,Simple,Director,5-8 years
How would you handle technical debt as a PM at Shopify?,Tesla,Foundation,Simple,Principal PM,8+ years
Describe how you would sunset a product for Stripe.,Dropbox,Behavioral,Complex,Director,8+ years
How would you approach rapid growth at Stripe?,Microsoft,Customer Obsession,Complex,Group PM,5-8 years
Explain your strategy to enter a new market in a simple environment.,Stripe,Foundation,Simple,Director,3-5 years
Tell me about a time you improve customer retention and what you learned.,Tesla,Metrics,Complex,Senior PM,5-8 years
Describe how you would sunset a product for Netflix.,Adobe,Technical,Simple,Group PM,5-8 years
How do you prioritize cross-team dependencies when working at Microsoft?,Stripe,Behavioral,Medium,Principal PM,0-1 years
Design a product to improve NPS for Netflix.,Netflix,Customer Obsession,Medium,Principal PM,2-3 years
Design a product to enhance customer satisfaction for Dropbox.,Google,Technical,Complex,PM,3-5 years
How would you handle cross-functional alignment as a PM at Uber?,Netflix,Execution,Simple,PM,1-2 years
Design a product to increase user engagement for Salesforce.,Square,Customer Obsession,Medium,Senior PM,5-8 years
How would you approach a major product launch at Slack?,Atlassian,Growth,Complex,Senior PM,1-2 years
Design a product to grow market share for Meta.,Amazon,Leadership,Complex,Director,3-5 years
How would you handle cross-functional alignment as a PM at Stripe?,Netflix,Strategic,Complex,Principal PM,8+ years
Describe how you would sunset a product for Salesforce.,Google,Leadership,Complex,Senior PM,2-3 years
How would you approach a failing product at Slack?,Tesla,Behavioral,Medium,Principal PM,2-3 years
Design a product to grow market share for Dropbox.,Salesforce,Foundation,Medium,Group PM,2-3 years
How would you handle customer complaints as a PM at Spotify?,Amazon,Execution,Complex,Group PM,1-2 years
How would you approach declining engagement at Tesla?,Tesla,Metrics,Complex,Senior PM,0-1 years
How do you prioritize customer feedback when working at Google?,Shopify,Growth,Medium,Principal PM,3-5 years
How would you approach a major product launch at Spotify?,Airbnb,Metrics,Simple,Senior PM,0-1 years
What would be your plan to reduce churn at Shopify?,Slack,Strategic,Medium,PM,2-3 years
How would you handle tight deadlines as a PM at Stripe?,Microsoft,Behavioral,Complex,Principal PM,2-3 years
How would you approach high churn rate at Netflix?,Stripe,Customer Obsession,Simple,Director,1-2 years
Design a product to grow market share for Atlassian.,Salesforce,Foundation,Simple,Group PM,3-5 years
What would be your plan to improve NPS at Tesla?,Apple,Execution,Complex,Senior PM,8+ years
Describe how you would improve customer retention for Netflix.,Google,Foundation,Simple,Principal PM,0-1 years
What would be your plan to enhance customer satisfaction at LinkedIn?,Microsoft,Customer Obsession,Medium,Principal PM,5-8 years
Describe how you would launch a new feature for Spotify.,Spotify,Behavioral,Complex,PM,2-3 years
What would be your plan to enhance customer satisfaction at Uber?,Shopify,Strategic,Complex,Group PM,3-5 years
How do you prioritize roadmap planning when working at Stripe?,LinkedIn,Behavioral,Medium,PM,8+ years
How do you prioritize cross-team dependencies when working at Netflix?,Stripe,Growth,Medium,PM,1-2 years
What would be your plan to grow market share at Square?,Stripe,Metrics,Simple,PM,0-1 years
Design a product to enhance customer satisfaction for Salesforce.,Uber,Leadership,Simple,Senior PM,0-1 years
Design a product to grow market share for Microsoft.,Stripe,Technical,Medium,Director,5-8 years
Describe how you would sunset a product for Slack.,Dropbox,Growth,Simple,Senior PM,8+ years
Explain your strategy to reduce churn in a simple environment.,Square,Leadership,Complex,PM,3-5 years
Design a product to increase user engagement for Google.,Netflix,Technical,Simple,Group PM,1-2 years
Describe how you would sunset a product for Apple.,Dropbox,Behavioral,Complex,Director,3-5 years
How do you prioritize customer feedback when working at Uber?,Microsoft,Behavioral,Medium,Principal PM,1-2 years
Describe how you would enter a new market for Twilio.,Uber,Technical,Simple,Principal PM,5-8 years
Describe how you would enter a new market for Atlassian.,Netflix,Metrics,Complex,Group PM,1-2 years
Describe how you would reduce churn for Salesforce.,Dropbox,Behavioral,Simple,Director,2-3 years
How would you approach a major product launch at Airbnb?,Uber,Strategic,Simple,PM,8+ years
Describe how you would scale an MVP for Salesforce.,Atlassian,Execution,Medium,Senior PM,5-8 years
Design a product to grow market share for LinkedIn.,Salesforce,Strategic,Medium,Director,0-1 years
Design a product to improve NPS for Stripe.,Google,Growth,Complex,Senior PM,0-1 years
How would you handle tight deadlines as a PM at LinkedIn?,Slack,Leadership,Complex,Group PM,8+ years
How would you handle customer complaints as a PM at Uber?,LinkedIn,Behavioral,Simple,PM,1-2 years
Describe how you would launch a new feature for Apple.,Meta,Growth,Medium,Principal PM,3-5 years
What metrics would you track to enhance customer satisfaction?,Stripe,Foundation,Simple,Director,5-8 years
What would be your plan to reduce churn at Stripe?,Salesforce,Execution,Simple,Group PM,5-8 years
How do you prioritize cross-team dependencies when working at Dropbox?,Slack,Customer Obsession,Complex,Group PM,0-1 years
Describe how you would enter a new market for Square.,Dropbox,Leadership,Simple,Principal PM,3-5 years
How would you handle cross-functional alignment as a PM at Dropbox?,Spotify,Metrics,Simple,Principal PM,8+ years
How do you prioritize cross-team dependencies when working at Spotify?,Tesla,Technical,Medium,Director,8+ years
How would you approach rapid growth at Atlassian?,Google,Leadership,Medium,Director,3-5 years
Design a product to reduce churn for Microsoft.,Stripe,Behavioral,Complex,Group PM,0-1 years
How do you prioritize feature backlog when working at Slack?,Stripe,Foundation,Complex,Senior PM,5-8 years
What would be your plan to improve NPS at Uber?,Amazon,Strategic,Complex,Director,1-2 years
How would you handle customer complaints as a PM at Tesla?,Spotify,Technical,Simple,Principal PM,0-1 years
Design a product to reduce churn for Atlassian.,Shopify,Leadership,Complex,PM,3-5 years
Explain your strategy to scale an MVP in a medium environment.,Stripe,Metrics,Medium,PM,5-8 years
How would you approach rapid growth at Twilio?,Amazon,Metrics,Simple,Group PM,8+ years
How would you approach a failing product at Meta?,Netflix,Foundation,Medium,PM,5-8 years
What would be your plan to improve NPS at Square?,Atlassian,Execution,Medium,Principal PM,8+ years
Design a product to increase user engagement for Shopify.,Tesla,Behavioral,Simple,PM,0-1 years
Design a product to improve NPS for Adobe.,Spotify,Metrics,Medium,PM,0-1 years
Describe how you would reduce churn for Netflix.,Tesla,Behavioral,Complex,Director,1-2 years
Describe how you would scale an MVP for Meta.,Netflix,Leadership,Simple,Principal PM,0-1 years
How do you prioritize cross-team dependencies when working at Atlassian?,LinkedIn,Customer Obsession,Medium,Director,3-5 years
Describe how you would scale an MVP for Amazon.,Uber,Execution,Complex,PM,1-2 years
Explain your strategy to reduce churn in a medium environment.,Spotify,Foundation,Medium,PM,1-2 years
How would you handle cross-functional alignment as a PM at Shopify?,LinkedIn,Behavioral,Complex,Group PM,3-5 years
How would you approach high churn rate at Dropbox?,Uber,Foundation,Simple,Director,2-3 years
Describe how you would launch a new feature for Square.,Stripe,Leadership,Medium,Senior PM,5-8 years
Tell me about a time you sunset a product and what you learned.,Netflix,Customer Obsession,Complex,Director,5-8 years
What would be your plan to reduce churn at Spotify?,Square,Metrics,Medium,Principal PM,2-3 years
How would you handle conflicting priorities as a PM at Adobe?,Amazon,Technical,Complex,Group PM,2-3 years
Describe how you would enter a new market for Airbnb.,Salesforce,Behavioral,Complex,Group PM,5-8 years
How would you handle technical debt as a PM at Google?,Microsoft,Leadership,Medium,PM,1-2 years
What would be your plan to grow market share at Stripe?,Dropbox,Growth,Simple,Group PM,0-1 years
How would you approach rapid growth at Shopify?,Microsoft,Strategic,Simple,PM,1-2 years
Describe how you would enter a new market for Shopify.,Slack,Growth,Simple,Director,1-2 years
What would be your plan to increase user engagement at Adobe?,Netflix,Strategic,Medium,Group PM,0-1 years
How do you prioritize feature backlog when working at Google?,Apple,Growth,Simple,Senior PM,1-2 years
How do you prioritize customer feedback when working at Airbnb?,Google,Leadership,Complex,Principal PM,3-5 years
Describe how you would launch a new feature for Netflix.,Uber,Metrics,Complex,Senior PM,8+ years
Design a product to reduce churn for LinkedIn.,Square,Execution,Complex,Principal PM,0-1 years
What would be your plan to grow market share at Airbnb?,Apple,Technical,Medium,Director,1-2 years
How would you handle technical debt as a PM at Slack?,Uber,Metrics,Simple,Senior PM,8+ years
Design a product to reduce churn for Stripe.,Twilio,Customer Obsession,Simple,Senior PM,5-8 years
Design a product to increase user engagement for Meta.,Meta,Leadership,Medium,Principal PM,8+ years
How would you approach rapid growth at Adobe?,Salesforce,Execution,Simple,Group PM,8+ years
How would you handle technical debt as a PM at Spotify?,Atlassian,Behavioral,Complex,Director,5-8 years
How would you handle tight deadlines as a PM at Dropbox?,Salesforce,Metrics,Complex,Director,8+ years
What would be your plan to reduce churn at Uber?,LinkedIn,Leadership,Complex,Senior PM,2-3 years
What would be your plan to enhance customer satisfaction at Dropbox?,Airbnb,Growth,Medium,Director,2-3 years
How would you handle conflicting priorities as a PM at Salesforce?,Salesforce,Metrics,Complex,Group PM,8+ years
How would you handle technical debt as a PM at Microsoft?,LinkedIn,Foundation,Complex,PM,8+ years
How would you handle customer complaints as a PM at Netflix?,Stripe,Behavioral,Simple,Group PM,3-5 years
What would be your plan to increase user engagement at Stripe?,Stripe,Technical,Medium,PM,3-5 years
What would be your plan to improve NPS at Salesforce?,LinkedIn,Technical,Simple,Group PM,2-3 years
Explain your strategy to improve customer retention in a medium environment.,Stripe,Foundation,Simple,Group PM,2-3 years
What would be your plan to reduce churn at Airbnb?,Uber,Customer Obsession,Medium,Director,3-5 years
How do you prioritize customer feedback when working at Microsoft?,Apple,Leadership,Medium,Group PM,8+ years
How would you approach rapid growth at Tesla?,Square,Foundation,Simple,PM,3-5 years
Explain your strategy to improve customer retention in a complex environment.,Uber,Execution,Complex,Group PM,1-2 years
How would you handle conflicting priorities as a PM at Netflix?,Stripe,Execution,Simple,Senior PM,2-3 years
How would you approach a major product launch at Amazon?,Dropbox,Behavioral,Complex,Group PM,3-5 years
How do you prioritize roadmap planning when working at Tesla?,Slack,Foundation,Simple,Director,8+ years
How would you approach rapid growth at Amazon?,Square,Customer Obsession,Complex,PM,0-1 years
How would you approach a major product launch at Shopify?,Dropbox,Execution,Medium,Principal PM,2-3 years
How would you handle technical debt as a PM at Netflix?,Spotify,Metrics,Simple,Principal PM,8+ years
How would you handle tight deadlines as a PM at Slack?,Spotify,Metrics,Medium,Senior PM,5-8 years
Describe how you would launch a new feature for Microsoft.,Salesforce,Foundation,Medium,PM,5-8 years
How would you handle technical debt as a PM at Amazon?,Atlassian,Behavioral,Simple,Senior PM,8+ years
Design a product to reduce churn for Uber.,Microsoft,Behavioral,Simple,Director,1-2 years
How would you handle tight deadlines as a PM at Adobe?,Slack,Execution,Simple,PM,0-1 years
Design a product to reduce churn for Shopify.,Uber,Strategic,Simple,Director,3-5 years
How do you prioritize customer feedback when working at LinkedIn?,Stripe,Growth,Medium,PM,0-1 years
Design a product to improve NPS for Square.,Apple,Execution,Complex,Principal PM,5-8 years
Design a product to grow market share for Netflix.,Tesla,Strategic,Complex,Director,1-2 years
How do you prioritize feature backlog when working at Meta?,Stripe,Behavioral,Complex,Director,5-8 years
Describe how you would launch a new feature for Meta.,Stripe,Execution,Simple,Director,1-2 years
Describe how you would enter a new market for Apple.,Atlassian,Foundation,Simple,Principal PM,5-8 years
How do you prioritize feature backlog when working at Uber?,Atlassian,Metrics,Medium,PM,3-5 years
Design a product to grow market share for Spotify.,Apple,Customer Obsession,Medium,Group PM,1-2 years
How would you approach high churn rate at Amazon?,Twilio,Execution,Complex,Director,2-3 years
How do you prioritize feature backlog when working at Tesla?,Meta,Foundation,Complex,Director,2-3 years
How would you handle conflicting priorities as a PM at Atlassian?,Meta,Behavioral,Complex,Director,5-8 years
Design a product to improve NPS for Spotify.,Tesla,Leadership,Simple,Senior PM,2-3 years
Design a product to increase user engagement for Amazon.,Amazon,Growth,Simple,Group PM,2-3 years
Describe how you would reduce churn for Apple.,Square,Customer Obsession,Simple,PM,0-1 years
How would you approach declining engagement at LinkedIn?,Slack,Metrics,Medium,PM,8+ years
How do you prioritize customer feedback when working at Square?,Salesforce,Leadership,Complex,Group PM,8+ years
What would be your plan to grow market share at Meta?,Shopify,Strategic,Simple,Principal PM,8+ years
How would you approach declining engagement at Google?,Adobe,Behavioral,Complex,Principal PM,8+ years
Describe how you would enter a new market for Slack.,Netflix,Foundation,Medium,Principal PM,8+ years
How would you handle conflicting priorities as a PM at Google?,Meta,Behavioral,Complex,Senior PM,8+ years
Explain your strategy to scale an MVP in a complex environment.,Atlassian,Foundation,Simple,Senior PM,8+ years
Design a product to improve NPS for Google.,Stripe,Metrics,Medium,Senior PM,2-3 years
Describe how you would improve customer retention for Uber.,Square,Growth,Complex,Group PM,1-2 years
Describe how you would reduce churn for Airbnb.,Netflix,Behavioral,Complex,PM,3-5 years
What would be your plan to increase user engagement at Apple?,Amazon,Leadership,Medium,Principal PM,2-3 years
Design a product to grow market share for Airbnb.,Amazon,Behavioral,Medium,Senior PM,1-2 years
What would be your plan to improve NPS at Airbnb?,Shopify,Foundation,Simple,Director,8+ years
How would you handle technical debt as a PM at Atlassian?,Dropbox,Leadership,Simple,Senior PM,5-8 years
How do you prioritize roadmap planning when working at Twilio?,Stripe,Growth,Complex,Principal PM,8+ years
Design a product to increase user engagement for Microsoft.,Square,Technical,Complex,Director,1-2 years
How do you prioritize feature backlog when working at Amazon?,Twilio,Growth,Simple,PM,1-2 years
How would you approach a failing product at Netflix?,Slack,Strategic,Complex,Principal PM,8+ years
Describe how you would sunset a product for Shopify.,Spotify,Growth,Simple,Senior PM,8+ years
What would be your plan to enhance customer satisfaction at Square?,Netflix,Growth,Medium,Director,5-8 years
How would you handle tight deadlines as a PM at Salesforce?,Adobe,Technical,Medium,Director,1-2 years
What would be your plan to increase user engagement at Atlassian?,Airbnb,Metrics,Medium,Group PM,2-3 years
Design a product to improve NPS for LinkedIn.,Google,Growth,Medium,Principal PM,2-3 years
How do you prioritize cross-team dependencies when working at Uber?,LinkedIn,Foundation,Simple,PM,2-3 years
How would you handle tight deadlines as a PM at Amazon?,Google,Growth,Medium,PM,5-8 years
How do you prioritize cross-team dependencies when working at Airbnb?,Stripe,Behavioral,Simple,Group PM,5-8 years
Describe how you would reduce churn for Slack.,Atlassian,Strategic,Medium,Principal PM,0-1 years
Design a product to reduce churn for Apple.,Slack,Strategic,Complex,Principal PM,2-3 years
Describe how you would launch a new feature for Shopify.,LinkedIn,Behavioral,Complex,Group PM,0-1 years
How would you approach high churn rate at Microsoft?,Apple,Technical,Medium,PM,3-5 years
Describe how you would improve customer retention for Salesforce.,Amazon,Strategic,Medium,PM,1-2 years
How would you handle conflicting priorities as a PM at Stripe?,Shopify,Technical,Simple,PM,8+ years
Design a product to enhance customer satisfaction for Airbnb.,Square,Customer Obsession,Simple,Director,1-2 years
What would be your plan to enhance customer satisfaction at Netflix?,Netflix,Foundation,Medium,Principal PM,8+ years
How would you handle cross-functional alignment as a PM at Adobe?,Shopify,Foundation,Medium,Group PM,1-2 years
Describe how you would reduce churn for Atlassian.,Adobe,Growth,Simple,Director,8+ years
How would you approach a major product launch at Twilio?,LinkedIn,Execution,Simple,Principal PM,1-2 years
How do you prioritize customer feedback when working at Meta?,Google,Foundation,Simple,Principal PM,2-3 years
How would you approach a major product launch at Square?,Airbnb,Behavioral,Complex,Principal PM,0-1 years
How would you handle conflicting priorities as a PM at Twilio?,Tesla,Metrics,Simple,Group PM,2-3 years
How would you handle tight deadlines as a PM at Twilio?,Netflix,Behavioral,Complex,Group PM,8+ years
Explain your strategy to enter a new market in a medium environment.,Stripe,Strategic,Simple,Senior PM,5-8 years
Describe how you would improve customer retention for Adobe.,Atlassian,Execution,Simple,Group PM,8+ years
How would you handle customer complaints as a PM at LinkedIn?,LinkedIn,Behavioral,Complex,Senior PM,5-8 years
How would you handle customer complaints as a PM at Dropbox?,Airbnb,Technical,Medium,Group PM,8+ years
Describe how you would reduce churn for Spotify.,Slack,Foundation,Medium,Principal PM,1-2 years
How would you approach a failing product at Apple?,Stripe,Behavioral,Medium,Group PM,1-2 years
How would you approach high churn rate at Apple?,Amazon,Leadership,Simple,Director,3-5 years
How do you prioritize feature backlog when working at Shopify?,Meta,Behavioral,Medium,Director,8+ years
How do you prioritize feature backlog when working at Netflix?,Adobe,Leadership,Simple,Group PM,8+ years
Explain your strategy to enter a new market in a complex environment.,Twilio,Strategic,Complex,Director,0-1 years
How would you handle tight deadlines as a PM at Shopify?,Adobe,Customer Obsession,Medium,PM,5-8 years
Describe how you would sunset a product for Dropbox.,Shopify,Metrics,Medium,Principal PM,0-1 years
How would you handle conflicting priorities as a PM at Apple?,Spotify,Foundation,Complex,Senior PM,1-2 years
What would be your plan to reduce churn at Google?,Stripe,Execution,Simple,PM,1-2 years
Design a product to enhance customer satisfaction for Shopify.,Tesla,Behavioral,Complex,PM,0-1 years
How would you handle customer complaints as a PM at Square?,Dropbox,Foundation,Medium,Director,8+ years
How would you handle cross-functional alignment as a PM at Atlassian?,Uber,Leadership,Complex,Senior PM,5-8 years
Describe how you would improve customer retention for Tesla.,Uber,Behavioral,Medium,Group PM,0-1 years
What would be your plan to increase user engagement at Shopify?,Microsoft,Metrics,Medium,Director,1-2 years
How would you handle technical debt as a PM at Square?,Square,Metrics,Medium,Group PM,8+ years
What would be your plan to improve NPS at Shopify?,Dropbox,Foundation,Simple,Principal PM,2-3 years
Design a product to reduce churn for Twilio.,Salesforce,Metrics,Simple,Senior PM,2-3 years
Describe how you would enter a new market for Microsoft.,Microsoft,Metrics,Complex,PM,2-3 years
How would you handle technical debt as a PM at Uber?,Netflix,Leadership,Medium,PM,1-2 years
What would be your plan to enhance customer satisfaction at Spotify?,Stripe,Foundation,Complex,Senior PM,2-3 years
Design a product to reduce churn for Netflix.,Square,Foundation,Complex,Principal PM,1-2 years
Design a product to enhance customer satisfaction for Slack.,Atlassian,Leadership,Complex,Group PM,1-2 years
What would be your plan to grow market share at Spotify?,Salesforce,Growth,Medium,Principal PM,5-8 years
How do you prioritize feature backlog when working at Atlassian?,Slack,Strategic,Complex,PM,1-2 years
How do you prioritize roadmap planning when working at Airbnb?,Uber,Strategic,Medium,Director,8+ years
How would you handle technical debt as a PM at Adobe?,LinkedIn,Technical,Complex,PM,1-2 years
How would you approach high churn rate at Slack?,Amazon,Behavioral,Simple,Principal PM,8+ years
What would be your plan to improve NPS at Amazon?,Airbnb,Strategic,Simple,Group PM,0-1 years
Describe how you would sunset a product for Airbnb.,Google,Strategic,Complex,PM,0-1 years
Describe how you would improve customer retention for Google.,Microsoft,Leadership,Simple,Director,3-5 years
How would you handle tight deadlines as a PM at Apple?,Tesla,Technical,Simple,Senior PM,0-1 years
How would you approach high churn rate at Atlassian?,Amazon,Leadership,Complex,Senior PM,5-8 years
Explain your strategy to sunset a product in a simple environment.,LinkedIn,Foundation,Complex,Group PM,1-2 years
How do you prioritize cross-team dependencies when working at Amazon?,Netflix,Foundation,Complex,Group PM,2-3 years
What would be your plan to grow market share at Atlassian?,Amazon,Customer Obsession,Complex,PM,3-5 years
How do you prioritize feature backlog when working at Adobe?,Microsoft,Metrics,Complex,Senior PM,2-3 years
What would be your plan to grow market share at LinkedIn?,Slack,Foundation,Medium,Group PM,5-8 years
How would you approach rapid growth at Netflix?,Tesla,Behavioral,Complex,Principal PM,1-2 years
Describe how you would scale an MVP for Slack.,Amazon,Strategic,Complex,Principal PM,5-8 years
How would you handle cross-functional alignment as a PM at Netflix?,Dropbox,Foundation,Complex,PM,8+ years
Design a product to improve NPS for Atlassian.,Shopify,Leadership,Complex,Group PM,5-8 years
How would you approach rapid growth at Google?,Airbnb,Customer Obsession,Simple,Principal PM,3-5 years
How would you approach high churn rate at Twilio?,Netflix,Foundation,Medium,PM,8+ years
Describe how you would scale an MVP for Uber.,Slack,Technical,Complex,Principal PM,1-2 years
Describe how you would scale an MVP for Twilio.,Uber,Growth,Complex,Director,8+ years
Design a product to improve NPS for Dropbox.,Airbnb,Metrics,Medium,Senior PM,0-1 years
How would you handle tight deadlines as a PM at Meta?,Microsoft,Foundation,Complex,Senior PM,5-8 years
Describe how you would reduce churn for Adobe.,Microsoft,Strategic,Simple,Senior PM,2-3 years
How would you approach a major product launch at Dropbox?,Amazon,Customer Obsession,Medium,Principal PM,8+ years
How would you approach a major product launch at Microsoft?,Airbnb,Execution,Medium,Group PM,3-5 years
How would you approach high churn rate at LinkedIn?,Dropbox,Technical,Medium,Senior PM,0-1 years
How would you handle cross-functional alignment as a PM at Tesla?,Uber,Execution,Medium,Director,1-2 years
How would you approach high churn rate at Salesforce?,Adobe,Strategic,Complex,Director,1-2 years
Design a product to increase user engagement for Twilio.,Shopify,Technical,Medium,Senior PM,3-5 years
What would be your plan to grow market share at Adobe?,LinkedIn,Strategic,Medium,Principal PM,2-3 years
How would you handle customer complaints as a PM at Microsoft?,Apple,Technical,Simple,Principal PM,0-1 years
How would you approach a failing product at Microsoft?,Square,Metrics,Simple,Senior PM,0-1 years
What would be your plan to improve NPS at Adobe?,Adobe,Foundation,Complex,PM,2-3 years
How do you prioritize cross-team dependencies when working at Meta?,Netflix,Technical,Complex,Director,2-3 years
What would be your plan to grow market share at Shopify?,Slack,Foundation,Complex,PM,3-5 years
Design a product to increase user engagement for LinkedIn.,Meta,Leadership,Simple,Senior PM,3-5 years
How would you approach a failing product at Stripe?,Shopify,Metrics,Simple,Principal PM,0-1 years
How would you approach declining engagement at Uber?,Meta,Behavioral,Simple,Principal PM,5-8 years
Describe how you would scale an MVP for Square.,Apple,Strategic,Complex,PM,8+ years
Design a product to grow market share for Salesforce.,Dropbox,Growth,Simple,Senior PM,3-5 years
What would be your plan to grow market share at Tesla?,Atlassian,Customer Obsession,Simple,Group PM,1-2 years
How would you handle cross-functional alignment as a PM at Meta?,Shopify,Metrics,Simple,PM,0-1 years
Design a product to increase user engagement for Stripe.,Uber,Execution,Simple,Group PM,0-1 years
Design a product to enhance customer satisfaction for Twilio.,Square,Metrics,Simple,Senior PM,3-5 years
Describe how you would launch a new feature for Stripe.,Adobe,Growth,Simple,PM,0-1 years
How do you prioritize roadmap planning when working at Spotify?,Netflix,Behavioral,Medium,Senior PM,8+ years
What would be your plan to improve NPS at Dropbox?,Spotify,Behavioral,Complex,Senior PM,3-5 years
Design a product to enhance customer satisfaction for Square.,Amazon,Technical,Simple,Director,2-3 years
