Question,Company,Category,Complexity,Experience Level,Years of Experience
How do you prioritize customer feedback when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,PM,1-2 years
Design a product to enhance customer satisfaction for Microsoft.,Microsoft,Leadership,Complex,Principal PM,5-8 years
How would you approach a major product launch at Stripe?,Stripe,Foundation,Medium,Director,1-2 years
Explain your strategy to sunset a product in a complex environment.,"Amazon, Google, Microsoft, Apple, Meta",Growth,Medium,Senior PM,0-1 years
Describe how you would enter a new market for Google.,Google,Metrics,Complex,Director,1-2 years
Describe how you would improve customer retention for Microsoft.,Microsoft,Metrics,Medium,Director,3-5 years
How would you evaluate the success of an international expansion?,"Amazon, Google, Microsoft, Apple, Meta",Customer Obsession,Simple,Director,5-8 years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,Principal PM,8+ years
Describe how you would sunset a product for Stripe.,Stripe,Behavioral,Complex,Director,8+ years
How would you approach rapid growth at Stripe?,Stripe,Customer Obsession,Complex,Group PM,5-8 years
Explain your strategy to enter a new market in a simple environment.,"Amazon, Google, Microsoft, Apple, Meta",Foundation,Simple,Director,3-5 years
Tell me about a time you improve customer retention and what you learned.,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Metrics,Complex,Senior PM,5-8 years
Describe how you would sunset a product for Netflix.,Netflix,Technical,Simple,Group PM,5-8 years
How do you prioritize cross-team dependencies when working at Microsoft?,Microsoft,Behavioral,Medium,Principal PM,0-1 years
Design a product to improve NPS for Netflix.,Netflix,Customer Obsession,Medium,Principal PM,2-3 years
Design a product to enhance customer satisfaction for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,PM,3-5 years
How would you handle cross-functional alignment as a PM at Uber?,Uber,Execution,Simple,PM,1-2 years
Design a product to increase user engagement for Salesforce.,Salesforce,Customer Obsession,Medium,Senior PM,5-8 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Complex,Senior PM,1-2 years
Design a product to grow market share for Meta.,Meta,Leadership,Complex,Director,3-5 years
How would you handle cross-functional alignment as a PM at Stripe?,Stripe,Strategic,Complex,Principal PM,8+ years
Describe how you would sunset a product for Salesforce.,Salesforce,Leadership,Complex,Senior PM,2-3 years
How would you approach a failing product at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Medium,Principal PM,2-3 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,Group PM,2-3 years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Group PM,1-2 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Senior PM,0-1 years
How do you prioritize customer feedback when working at Google?,Google,Growth,Medium,Principal PM,3-5 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,0-1 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Medium,PM,2-3 years
How would you handle tight deadlines as a PM at Stripe?,Stripe,Behavioral,Complex,Principal PM,2-3 years
How would you approach high churn rate at Netflix?,Netflix,Customer Obsession,Simple,Director,1-2 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,Group PM,3-5 years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Senior PM,8+ years
Describe how you would improve customer retention for Netflix.,Netflix,Foundation,Simple,Principal PM,0-1 years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Principal PM,5-8 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,PM,2-3 years
What would be your plan to enhance customer satisfaction at Uber?,Uber,Strategic,Complex,Group PM,3-5 years
How do you prioritize roadmap planning when working at Stripe?,Stripe,Behavioral,Medium,PM,8+ years
How do you prioritize cross-team dependencies when working at Netflix?,Netflix,Growth,Medium,PM,1-2 years
What would be your plan to grow market share at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,PM,0-1 years
Design a product to enhance customer satisfaction for Salesforce.,Salesforce,Leadership,Simple,Senior PM,0-1 years
Design a product to grow market share for Microsoft.,Microsoft,Technical,Medium,Director,5-8 years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Senior PM,8+ years
Explain your strategy to reduce churn in a simple environment.,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Leadership,Complex,PM,3-5 years
Design a product to increase user engagement for Google.,Google,Technical,Simple,Group PM,1-2 years
Describe how you would sunset a product for Apple.,Apple,Behavioral,Complex,Director,3-5 years
How do you prioritize customer feedback when working at Uber?,Uber,Behavioral,Medium,Principal PM,1-2 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,Principal PM,5-8 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Group PM,1-2 years
Describe how you would reduce churn for Salesforce.,Salesforce,Behavioral,Simple,Director,2-3 years
How would you approach a major product launch at Airbnb?,Airbnb,Strategic,Simple,PM,8+ years
Describe how you would scale an MVP for Salesforce.,Salesforce,Execution,Medium,Senior PM,5-8 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Medium,Director,0-1 years
Design a product to improve NPS for Stripe.,Stripe,Growth,Complex,Senior PM,0-1 years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Group PM,8+ years
How would you handle customer complaints as a PM at Uber?,Uber,Behavioral,Simple,PM,1-2 years
Describe how you would launch a new feature for Apple.,Apple,Growth,Medium,Principal PM,3-5 years
What metrics would you track to enhance customer satisfaction?,"Amazon, Google, Microsoft, Apple, Meta",Foundation,Simple,Director,5-8 years
What would be your plan to reduce churn at Stripe?,Stripe,Execution,Simple,Group PM,5-8 years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Complex,Group PM,0-1 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Simple,Principal PM,3-5 years
How would you handle cross-functional alignment as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Principal PM,8+ years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Medium,Director,8+ years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Medium,Director,3-5 years
Design a product to reduce churn for Microsoft.,Microsoft,Behavioral,Complex,Group PM,0-1 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Complex,Senior PM,5-8 years
What would be your plan to improve NPS at Uber?,Uber,Strategic,Complex,Director,1-2 years
How would you handle customer complaints as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Simple,Principal PM,0-1 years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,PM,3-5 years
Explain your strategy to scale an MVP in a medium environment.,"Amazon, Google, Microsoft, Apple, Meta",Metrics,Medium,PM,5-8 years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Group PM,8+ years
How would you approach a failing product at Meta?,Meta,Foundation,Medium,PM,5-8 years
What would be your plan to improve NPS at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Principal PM,8+ years
Design a product to increase user engagement for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Simple,PM,0-1 years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,PM,0-1 years
Describe how you would reduce churn for Netflix.,Netflix,Behavioral,Complex,Director,1-2 years
Describe how you would scale an MVP for Meta.,Meta,Leadership,Simple,Principal PM,0-1 years
How do you prioritize cross-team dependencies when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Director,3-5 years
Describe how you would scale an MVP for Amazon.,Amazon,Execution,Complex,PM,1-2 years
Explain your strategy to reduce churn in a medium environment.,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Foundation,Medium,PM,1-2 years
How would you handle cross-functional alignment as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Group PM,3-5 years
How would you approach high churn rate at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,Director,2-3 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Medium,Senior PM,5-8 years
Tell me about a time you sunset a product and what you learned.,"Amazon, Google, Microsoft, Apple, Meta",Customer Obsession,Complex,Director,5-8 years
What would be your plan to reduce churn at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Principal PM,2-3 years
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Technical,Complex,Group PM,2-3 years
Describe how you would enter a new market for Airbnb.,Airbnb,Behavioral,Complex,Group PM,5-8 years
How would you handle technical debt as a PM at Google?,Google,Leadership,Medium,PM,1-2 years
What would be your plan to grow market share at Stripe?,Stripe,Growth,Simple,Group PM,0-1 years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Simple,PM,1-2 years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Director,1-2 years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Medium,Group PM,0-1 years
How do you prioritize feature backlog when working at Google?,Google,Growth,Simple,Senior PM,1-2 years
How do you prioritize customer feedback when working at Airbnb?,Airbnb,Leadership,Complex,Principal PM,3-5 years
Describe how you would launch a new feature for Netflix.,Netflix,Metrics,Complex,Senior PM,8+ years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Principal PM,0-1 years
What would be your plan to grow market share at Airbnb?,Airbnb,Technical,Medium,Director,1-2 years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Simple,Senior PM,8+ years
Design a product to reduce churn for Stripe.,Stripe,Customer Obsession,Simple,Senior PM,5-8 years
Design a product to increase user engagement for Meta.,Meta,Leadership,Medium,Principal PM,8+ years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,Group PM,8+ years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Director,5-8 years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Complex,Director,8+ years
What would be your plan to reduce churn at Uber?,Uber,Leadership,Complex,Senior PM,2-3 years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,Director,2-3 years
How would you handle conflicting priorities as a PM at Salesforce?,Salesforce,Metrics,Complex,Group PM,8+ years
How would you handle technical debt as a PM at Microsoft?,Microsoft,Foundation,Complex,PM,8+ years
How would you handle customer complaints as a PM at Netflix?,Netflix,Behavioral,Simple,Group PM,3-5 years
What would be your plan to increase user engagement at Stripe?,Stripe,Technical,Medium,PM,3-5 years
What would be your plan to improve NPS at Salesforce?,Salesforce,Technical,Simple,Group PM,2-3 years
Explain your strategy to improve customer retention in a medium environment.,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Foundation,Simple,Group PM,2-3 years
What would be your plan to reduce churn at Airbnb?,Airbnb,Customer Obsession,Medium,Director,3-5 years
How do you prioritize customer feedback when working at Microsoft?,Microsoft,Leadership,Medium,Group PM,8+ years
How would you approach rapid growth at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,PM,3-5 years
Explain your strategy to improve customer retention in a complex environment.,"Amazon, Google, Microsoft, Apple, Meta, Netflix, Uber, Airbnb",Execution,Complex,Group PM,1-2 years
How would you handle conflicting priorities as a PM at Netflix?,Netflix,Execution,Simple,Senior PM,2-3 years
How would you approach a major product launch at Amazon?,Amazon,Behavioral,Complex,Group PM,3-5 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Simple,Director,8+ years
How would you approach rapid growth at Amazon?,Amazon,Customer Obsession,Complex,PM,0-1 years
How would you approach a major product launch at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Medium,Principal PM,2-3 years
How would you handle technical debt as a PM at Netflix?,Netflix,Metrics,Simple,Principal PM,8+ years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Senior PM,5-8 years
Describe how you would launch a new feature for Microsoft.,Microsoft,Foundation,Medium,PM,5-8 years
How would you handle technical debt as a PM at Amazon?,Amazon,Behavioral,Simple,Senior PM,8+ years
Design a product to reduce churn for Uber.,Uber,Behavioral,Simple,Director,1-2 years
How would you handle tight deadlines as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Simple,PM,0-1 years
Design a product to reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Simple,Director,3-5 years
How do you prioritize customer feedback when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,PM,0-1 years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Execution,Complex,Principal PM,5-8 years
Design a product to grow market share for Netflix.,Netflix,Strategic,Complex,Director,1-2 years
How do you prioritize feature backlog when working at Meta?,Meta,Behavioral,Complex,Director,5-8 years
Describe how you would launch a new feature for Meta.,Meta,Execution,Simple,Director,1-2 years
Describe how you would enter a new market for Apple.,Apple,Foundation,Simple,Principal PM,5-8 years
How do you prioritize feature backlog when working at Uber?,Uber,Metrics,Medium,PM,3-5 years
Design a product to grow market share for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Customer Obsession,Medium,Group PM,1-2 years
How would you approach high churn rate at Amazon?,Amazon,Execution,Complex,Director,2-3 years
How do you prioritize feature backlog when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Complex,Director,2-3 years
How would you handle conflicting priorities as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Director,5-8 years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Simple,Senior PM,2-3 years
Design a product to increase user engagement for Amazon.,Amazon,Growth,Simple,Group PM,2-3 years
Describe how you would reduce churn for Apple.,Apple,Customer Obsession,Simple,PM,0-1 years
How would you approach declining engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,PM,8+ years
How do you prioritize customer feedback when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Complex,Group PM,8+ years
What would be your plan to grow market share at Meta?,Meta,Strategic,Simple,Principal PM,8+ years
How would you approach declining engagement at Google?,Google,Behavioral,Complex,Principal PM,8+ years
Describe how you would enter a new market for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Foundation,Medium,Principal PM,8+ years
How would you handle conflicting priorities as a PM at Google?,Google,Behavioral,Complex,Senior PM,8+ years
Explain your strategy to scale an MVP in a complex environment.,"Amazon, Google, Microsoft, Apple, Meta",Foundation,Simple,Senior PM,8+ years
Design a product to improve NPS for Google.,Google,Metrics,Medium,Senior PM,2-3 years
Describe how you would improve customer retention for Uber.,Uber,Growth,Complex,Group PM,1-2 years
Describe how you would reduce churn for Airbnb.,Airbnb,Behavioral,Complex,PM,3-5 years
What would be your plan to increase user engagement at Apple?,Apple,Leadership,Medium,Principal PM,2-3 years
Design a product to grow market share for Airbnb.,Airbnb,Behavioral,Medium,Senior PM,1-2 years
What would be your plan to improve NPS at Airbnb?,Airbnb,Foundation,Simple,Director,8+ years
How would you handle technical debt as a PM at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Leadership,Simple,Senior PM,5-8 years
How do you prioritize roadmap planning when working at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Complex,Principal PM,8+ years
Design a product to increase user engagement for Microsoft.,Microsoft,Technical,Complex,Director,1-2 years
How do you prioritize feature backlog when working at Amazon?,Amazon,Growth,Simple,PM,1-2 years
How would you approach a failing product at Netflix?,Netflix,Strategic,Complex,Principal PM,8+ years
Describe how you would sunset a product for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Simple,Senior PM,8+ years
What would be your plan to enhance customer satisfaction at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,Director,5-8 years
How would you handle tight deadlines as a PM at Salesforce?,Salesforce,Technical,Medium,Director,1-2 years
What would be your plan to increase user engagement at our company?,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Metrics,Medium,Group PM,2-3 years
Design a product to improve NPS for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Growth,Medium,Principal PM,2-3 years
How do you prioritize cross-team dependencies when working at Uber?,Uber,Foundation,Simple,PM,2-3 years
How would you handle tight deadlines as a PM at Amazon?,Amazon,Growth,Medium,PM,5-8 years
How do you prioritize cross-team dependencies when working at Airbnb?,Airbnb,Behavioral,Simple,Group PM,5-8 years
Describe how you would reduce churn for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Strategic,Medium,Principal PM,0-1 years
Design a product to reduce churn for Apple.,Apple,Strategic,Complex,Principal PM,2-3 years
Describe how you would launch a new feature for our company.,"Stripe, Amazon, Google, Microsoft, Apple, Salesforce, Freshworks, Zoho",Behavioral,Complex,Group PM,0-1 years
How would you approach high churn rate at Microsoft?,Microsoft,Technical,Medium,PM,3-5 years
Describe how you would improve customer retention for Salesforce.,Salesforce,Strategic,Medium,PM,1-2 years
How would you handle conflicting priorities as a PM at Stripe?,Stripe,Technical,Simple,PM,8+ years
Design a product to enhance customer satisfaction for Airbnb.,Airbnb,Customer Obsession,Simple,Director,1-2 years
What would be your plan to enhance customer satisfaction at Netflix?,Netflix,Foundation,Medium,Principal PM,8+ years
